HMDB0000143,P19367,HK1
HMDB0000143,P54803,GALC
HMDB0000143,P09848,LCT
HMDB0000143,P06280,GLA
HMDB0000143,P16278,GLB1
HMDB0000143,Q01415,GALK2
HMDB0000143,P51570,GALK1
HMDB0000143,P34059,GALNS
HMDB0000143,O43451,MGAM
HMDB0000143,Q8TET4,GANC
HMDB0000143,Q5KU26,COLEC12
HMDB0000143,Q2TB90,HKDC1
HMDB0000191,P17174,GOT1
HMDB0000191,P00505,GOT2
HMDB0000191,P07998,RNASE1
HMDB0000191,Q03154,ACY1
HMDB0000191,P45381,ASPA
HMDB0000191,Q96HD9,ACY3
HMDB0000191,P08243,ASNS
HMDB0000191,P14868,DARS
HMDB0000191,P00966,ASS1
HMDB0000191,P00367,GLUD1
HMDB0000191,Q05329,GAD2
HMDB0000191,Q99259,GAD1
HMDB0000191,P30520,ADSS
HMDB0000191,Q8N142,ADSSL1
HMDB0000191,P22234,PAICS
HMDB0000191,P20933,AGA
HMDB0000191,Q12797,ASPH
HMDB0000191,P61626,LYZ
HMDB0000191,Q9UJS0,SLC25A13
HMDB0000191,P43005,SLC1A1
HMDB0000191,O75746,SLC25A12
HMDB0000191,P27708,CAD
HMDB0000191,Q7L266,ASRGL1
HMDB0000191,Q8TF71,SLC16A10
HMDB0000191,Q86U10,ASPG
HMDB0000139,P49189,ALDH9A1
HMDB0000139,P49419,ALDH7A1
HMDB0000139,P47895,ALDH1A3
HMDB0000139,P05091,ALDH2
HMDB0000139,P51648,ALDH3A2
HMDB0000139,P30837,ALDH1B1
HMDB0000139,Q9UBQ7,GRHPR
HMDB0000139,Q8IVS8,GLYCTK
HMDB0000099,P32929,CTH
HMDB0000099,P35520,CBS
HMDB0000094,P53396,ACLY
HMDB0000094,O75390,CS
HMDB0000094,P15121,AKR1B1
HMDB0000094,P14174,MIF
HMDB0000094,Q9Y663,HS3ST3A1
HMDB0000094,Q14749,GNMT
HMDB0000094,Q9BY32,ITPA
HMDB0000094,P07741,APRT
HMDB0000094,P07998,RNASE1
HMDB0000094,Q96KN2,CNDP1
HMDB0000094,Q93088,BHMT
HMDB0000094,O76074,PDE5A
HMDB0000094,Q99798,ACO2
HMDB0000094,P21399,ACO1
HMDB0000094,P40926,MDH2
HMDB0000094,P12931,SRC
HMDB0000094,P03950,ANG
HMDB0000094,O94956,SLCO2B1
HMDB0000094,P12724,RNASE3
HMDB0000094,Q9BZX2,UCK2
HMDB0000094,Q8N0X4,CLYBL
HMDB0000094,Q96RQ9,IL4I1
HMDB0000094,Q9ULI2,RIMKLB
HMDB0000094,Q9GZU7,CTDSP1
HMDB0000094,P15086,CPB1
HMDB0000254,Q99643,SDHC
HMDB0000254,P31040,SDHA
HMDB0000254,O14521,SDHD
HMDB0000254,P21912,SDHB
HMDB0000254,P51649,ALDH5A1
HMDB0000254,O14832,PHYH
HMDB0000254,O15460,P4HA2
HMDB0000254,P13674,P4HA1
HMDB0000254,O75936,BBOX1
HMDB0000254,Q02809,PLOD1
HMDB0000254,O00469,PLOD2
HMDB0000254,O60568,PLOD3
HMDB0000254,P55809,OXCT1
HMDB0000254,Q9BYC2,OXCT2
HMDB0000254,P53597,SUCLG1
HMDB0000254,Q96I99,SUCLG2
HMDB0000254,Q9P2R7,SUCLA2
HMDB0000254,Q12797,ASPH
HMDB0000254,Q9NWT6,HIF1AN
HMDB0000254,Q9UBX3,SLC25A10
HMDB0000254,Q8WWT9,SLC13A3
HMDB0000254,O14756,HSD17B6
HMDB0000254,Q9BZW2,SLC13A1
HMDB0000254,Q13183,SLC13A2
HMDB0000254,Q9NVH6,TMLHE
HMDB0006029,Q03154,ACY1
HMDB0000159,P07101,TH
HMDB0000159,Q9Y285,FARSA
HMDB0000159,O95363,FARS2
HMDB0000159,P17735,TAT
HMDB0000159,P20711,DDC
HMDB0000159,P22079,LPO
HMDB0000159,P00439,PAH
HMDB0000159,P30041,PRDX6
HMDB0000159,P05164,MPO
HMDB0000159,P17174,GOT1
HMDB0000159,P00505,GOT2
HMDB0000159,P11678,EPX
HMDB0000159,Q16773,CCBL1
HMDB0000159,Q9NSD9,FARSB
HMDB0000159,Q9UHI5,SLC7A8
HMDB0000159,Q8TF71,SLC16A10
HMDB0000159,Q9BYF1,ACE2
HMDB0000159,Q96RQ9,IL4I1
HMDB0000159,Q6IBR2,FARSLA
HMDB0000162,O15460,P4HA2
HMDB0000162,P32322,PYCR1
HMDB0000162,P13674,P4HA1
HMDB0000162,Q96C36,PYCR2
HMDB0000162,P07814,EPRS
HMDB0000162,P28838,LAP3
HMDB0000162,O43272,PRODH
HMDB0000162,Q53H96,PYCRL
HMDB0000162,O94903,PROSC
HMDB0000162,Q4W8W1,P5CR2
HMDB0000162,Q99884,SLC6A7
HMDB0000162,Q9UN76,SLC6A14
HMDB0000162,Q8TF71,SLC16A10
HMDB0000162,Q9UF12,PRODH2
HMDB0000162,Q7Z4N2,TRPM1
HMDB0000162,Q32P28,LEPRE1
HMDB0000162,Q8IVL5,LEPREL1
HMDB0000162,Q8IVL6,LEPREL2
HMDB0000162,Q7Z4N8,P4HA3
HMDB0000162,Q9GZT9,EGLN1
HMDB0000162,Q96KS0,EGLN2
HMDB0000162,Q9H6Z9,EGLN3
HMDB0000162,Q9NXG6,P4HTM
HMDB0000162,Q96EM0,L3HYPDH
HMDB0000162,P30405,PPIF
HMDB0001847,Q07343,PDE4B
HMDB0001847,P08684,CYP3A4
HMDB0001847,P11712,CYP2C9
HMDB0001847,P33261,CYP2C19
HMDB0001847,P05181,CYP2E1
HMDB0001847,Q9HB55,CYP3A43
HMDB0001847,Q16678,CYP1B1
HMDB0001847,P10635,CYP2D6
HMDB0001847,P33260,CYP2C18
HMDB0001847,P24903,CYP2F1
HMDB0001847,Q8N118,CYP4X1
HMDB0001847,P20813,CYP2B6
HMDB0001847,P20815,CYP3A5
HMDB0001847,P04798,CYP1A1
HMDB0001847,Q16696,CYP2A13
HMDB0001847,P24462,CYP3A7
HMDB0001847,P13584,CYP4B1
HMDB0001847,Q86W10,CYP4Z1
HMDB0001847,P05177,CYP1A2
HMDB0001847,P11511,CYP19A1
HMDB0001847,P10632,CYP2C8
HMDB0001847,Q96SQ9,CYP2S1
HMDB0001847,P51589,CYP2J2
HMDB0001847,P20853,CYP2A7
HMDB0001847,P11509,CYP2A6
HMDB0000214,P05089,ARG1
HMDB0000214,P04181,OAT
HMDB0000214,P50440,GATM
HMDB0000214,Q03154,ACY1
HMDB0000214,P54886,ALDH18A1
HMDB0000214,P00480,OTC
HMDB0000214,P11926,ODC1
HMDB0000214,P78540,ARG2
HMDB0000214,O43246,SLC7A4
HMDB0000214,Q9Y619,SLC25A15
HMDB0000214,Q9BXI2,SLC25A2
HMDB0000214,Q8WY07,SLC7A3
HMDB0000214,P30825,SLC7A1
HMDB0000214,P52569,SLC7A2
HMDB0000214,Q92536,SLC7A6
HMDB0000214,P54368,OAZ1
HMDB0000214,O95190,OAZ2
HMDB0000214,Q9UMX2,OAZ3
HMDB0000214,O14977,AZIN1
HMDB0000696,Q99707,MTR
HMDB0000696,P42898,MTHFR
HMDB0000696,P17735,TAT
HMDB0000696,P31153,MAT2A
HMDB0000696,Q9HBK9,AS3MT
HMDB0000696,O95050,INMT
HMDB0000696,Q00266,MAT1A
HMDB0000696,Q9UBK8,MTRR
HMDB0000696,Q16773,CCBL1
HMDB0000696,Q9UJ68,MSRA
HMDB0000696,Q93088,BHMT
HMDB0000696,P56192,MARS
HMDB0000696,P15104,GLUL
HMDB0000696,O43766,LIAS
HMDB0000696,Q9NZL9,MAT2B
HMDB0000696,Q9H2M3,BHMT2
HMDB0000696,Q8TF71,SLC16A10
HMDB0000696,P50579,METAP2
HMDB0000696,Q96RQ9,IL4I1
HMDB0000696,Q6YP21,CCBL2
HMDB0000696,Q9Y3D2,MSRB2
HMDB0000696,Q8IXL7,MSRB3
HMDB0000696,Q96GW9,MARS2
HMDB0000696,Q9NZV6,MSRB1
